iter	Logloss
0	0.5896038956
1	0.5143169446
2	0.4581715445
3	0.4451484252
4	0.4210559974
5	0.4107085667
6	0.4062481569
7	0.3876186328
8	0.3791929095
9	0.3702311569
10	0.3648030999
11	0.3644194871
12	0.3592026528
13	0.3543828257
14	0.3524880141
15	0.3498413857
16	0.3436248008
17	0.3375738551
18	0.3226252138
19	0.3211735929
20	0.3142237288
21	0.3095070914
22	0.3051947262
23	0.3027634781
24	0.2959084886
25	0.292705343
26	0.2889482305
27	0.2860931654
28	0.2829327101
29	0.2769046526
30	0.2763162034
31	0.2734508514
32	0.2698159807
33	0.26643288
34	0.2610805812
35	0.2548642962
36	0.2519339658
37	0.246271262
38	0.2434816253
39	0.2405739259
40	0.2358147696
41	0.2322410412
42	0.2273181958
43	0.2244846901
44	0.2199572017
45	0.2172695546
46	0.2134098953
47	0.2104392748
48	0.2056998349
49	0.2036418272
50	0.2017190912
51	0.1976974787
52	0.1966106972
53	0.1942247112
54	0.1925399009
55	0.1911799399
56	0.1904380027
57	0.1884465593
58	0.1866279345
59	0.1833826558
60	0.1820423683
61	0.1797681444
62	0.1774181409
63	0.1756173252
64	0.1735169057
65	0.1722174655
66	0.1717539691
67	0.1699921254
68	0.1688060546
69	0.1673090324
70	0.1650378409
71	0.1631833409
72	0.1622320775
73	0.1610853002
74	0.1574674349
75	0.1571887799
76	0.1565165359
77	0.1555430059
78	0.1541786408
79	0.1525829615
80	0.15164161
81	0.149542262
82	0.1479838082
83	0.1465829142
84	0.1461610473
85	0.1454157026
86	0.1446640679
87	0.1431976275
88	0.1413978405
89	0.1397154519
90	0.1383491366
91	0.1368288833
92	0.1364713412
93	0.1353143949
94	0.1349088905
95	0.1336915734
96	0.1334062212
97	0.1325048811
98	0.1313975473
99	0.1305762409
100	0.1303916353
101	0.1285842295
102	0.127399166
103	0.1265938577
104	0.1261714014
105	0.1250831304
106	0.1243529695
107	0.1233445714
108	0.1222520142
109	0.1215165492
110	0.1205702471
111	0.1195310528
112	0.1189991919
113	0.1179527969
114	0.1169322796
115	0.1165002866
116	0.1159889135
117	0.1151189161
118	0.1143558588
119	0.1130581545
120	0.1122534034
121	0.1113215779
122	0.1108345503
123	0.1100516373
124	0.1093713889
125	0.1083589725
126	0.1081137389
127	0.1078665658
128	0.1071908929
129	0.1068840884
130	0.1060751047
131	0.1058275459
132	0.1053537733
133	0.1051837835
134	0.1044848689
135	0.1037042811
136	0.1031561862
137	0.1028910433
138	0.1024010798
139	0.1016852882
140	0.1012060401
141	0.1004370572
142	0.0999634132
143	0.09978030773
144	0.09963800666
145	0.09906858809
146	0.09884576047
147	0.09828513928
148	0.09792176793
149	0.09763350112
150	0.09736069669
151	0.0969154808
152	0.09633593613
153	0.0958576631
154	0.09546734242
155	0.09459761287
156	0.09447597118
157	0.09426970964
158	0.09386494454
159	0.09339191137
160	0.09305237116
161	0.0928002904
162	0.09235294213
163	0.09223409717
164	0.09202467458
165	0.09152014872
166	0.09112960301
167	0.09064755815
168	0.08967069026
169	0.08958287185
170	0.08922162217
171	0.08885414681
172	0.08854171131
173	0.08818176355
174	0.08805382654
175	0.08797940243
176	0.08774311087
177	0.08744816298
178	0.08718194319
179	0.08708082692
180	0.08699212985
181	0.08662572604
182	0.08636451571
183	0.08603494623
184	0.08571608683
185	0.08556274886
186	0.08536931906
187	0.08486176609
188	0.08443594515
189	0.08385317513
190	0.08380038015
191	0.08362032858
192	0.08330430877
193	0.08306947987
194	0.08269302497
195	0.08244540182
196	0.08188190889
197	0.08155067315
198	0.08149424028
199	0.08115664493
